Thoi_Gian,Ap_Bat_Loi,Ap_Sau_Van,Luu_Luong,Ap_Truoc_Van,Dung_Luong_Ac_Quy_Van,Dung_Luong_Ac_Quy_Bat_Loi
4/5/2026-00:00:58,0.85,1.39,25.85,2.85,82.00,86.00
4/5/2026-00:15:58,0.89,1.41,25.89,2.84,81.00,86.00
4/5/2026-00:30:58,0.88,1.43,24.55,2.86,82.00,86.00
4/5/2026-00:45:58,0.89,1.43,23.93,2.88,81.00,86.00
4/5/2026-01:00:58,0.92,1.46,25.43,2.89,81.00,85.00
4/5/2026-01:15:58,0.89,1.48,24.49,2.77,81.00,85.00
4/5/2026-01:30:58,0.99,1.54,26.12,3.02,80.00,84.00
4/5/2026-01:45:58,1.00,1.55,24.95,3.05,81.00,84.00
4/5/2026-02:00:58,1.06,1.55,24.95,3.05,81.00,83.00
4/5/2026-02:15:58,0.99,1.55,24.95,3.05,81.00,83.00
4/5/2026-02:30:58,1.06,1.55,24.95,3.05,81.00,83.00
4/5/2026-02:45:58,1.09,1.55,24.95,3.05,81.00,82.00
4/5/2026-03:00:58,1.09,1.55,24.95,3.05,81.00,82.00
4/5/2026-03:15:58,1.09,1.55,24.95,3.05,81.00,81.00
4/5/2026-03:30:58,1.02,1.55,24.95,3.05,81.00,81.00
4/5/2026-03:45:58,1.06,1.55,24.95,3.05,81.00,81.00
4/5/2026-04:00:58,1.07,1.55,24.95,3.05,81.00,80.00
4/5/2026-04:15:58,1.08,1.55,24.95,3.05,81.00,80.00
4/5/2026-04:30:58,0.95,1.47,23.93,4.12,79.00,80.00
4/5/2026-04:45:58,0.96,1.47,26.33,4.47,78.00,79.00
4/5/2026-05:00:58,0.89,1.45,27.09,4.78,79.00,79.00
4/5/2026-05:15:58,0.85,1.45,27.09,4.78,79.00,78.00
4/5/2026-05:30:58,0.84,1.40,26.09,4.59,78.00,78.00
4/5/2026-05:45:58,1.37,3.47,209.25,3.95,77.00,77.00
4/5/2026-06:00:58,1.71,3.77,200.62,3.89,78.00,77.00
4/5/2026-06:15:58,1.86,3.77,200.62,3.89,78.00,79.00
4/5/2026-06:30:58,1.80,3.77,200.62,3.89,78.00,82.00
4/5/2026-06:45:58,1.82,3.77,200.62,3.89,78.00,91.00
4/5/2026-07:00:58,1.86,3.77,200.62,3.89,78.00,97.00
4/5/2026-07:15:58,1.89,3.77,200.62,3.89,78.00,100.00
4/5/2026-07:30:58,2.01,3.77,200.62,3.89,78.00,100.00
4/5/2026-07:45:58,1.82,3.77,200.62,3.89,78.00,100.00
4/5/2026-08:00:58,2.15,3.77,200.62,3.89,78.00,100.00
4/5/2026-08:15:58,1.79,3.77,200.62,3.89,78.00,100.00
4/5/2026-08:30:58,1.84,3.62,163.76,3.69,93.00,100.00
4/5/2026-08:45:58,2.01,3.45,154.52,3.49,100.00,100.00
4/5/2026-09:00:58,1.84,3.64,166.07,3.70,100.00,100.00
4/5/2026-09:15:58,1.79,3.50,154.77,3.54,100.00,100.00
4/5/2026-09:30:58,2.28,3.48,153.93,3.53,100.00,100.00
4/5/2026-09:45:58,1.54,3.50,159.39,3.55,100.00,100.00
4/5/2026-10:00:58,1.99,3.59,155.80,3.62,100.00,100.00
4/5/2026-10:15:58,1.82,3.72,157.94,3.77,100.00,100.00
4/5/2026-10:30:58,2.12,3.67,167.69,3.76,100.00,100.00
4/5/2026-10:45:58,1.84,3.60,172.91,3.72,100.00,100.00
4/5/2026-11:00:58,2.12,3.63,174.45,3.74,100.00,100.00
4/5/2026-11:15:58,2.23,3.69,164.35,3.77,100.00,100.00
4/5/2026-11:30:58,2.08,3.66,158.53,3.70,100.00,100.00
4/5/2026-11:45:58,2.03,3.54,144.39,3.57,100.00,100.00
4/5/2026-12:00:58,2.10,3.41,145.75,3.44,100.00,100.00
4/5/2026-12:15:58,1.91,3.56,151.54,3.62,100.00,100.00
4/5/2026-12:30:58,2.19,3.63,144.69,3.67,100.00,100.00
4/5/2026-12:45:58,2.15,3.70,143.40,3.72,100.00,100.00
4/5/2026-13:00:58,2.28,3.74,139.56,3.74,100.00,100.00
4/5/2026-13:15:58,2.46,3.63,129.85,3.63,100.00,100.00
4/5/2026-13:30:58,2.61,3.77,138.50,3.78,100.00,100.00
4/5/2026-13:45:58,2.74,3.79,129.54,3.78,100.00,100.00
4/5/2026-14:00:58,2.62,3.80,130.31,3.80,100.00,100.00
4/5/2026-14:15:58,2.53,3.52,104.85,3.51,100.00,100.00
4/5/2026-14:30:58,2.45,3.36,108.49,3.32,100.00,100.00
4/5/2026-14:45:58,2.28,3.47,115.09,3.44,100.00,100.00
4/5/2026-15:00:58,2.09,3.41,117.82,3.41,100.00,100.00
4/5/2026-15:15:58,2.14,3.37,129.91,3.37,100.00,100.00
4/5/2026-15:30:58,2.07,3.19,132.91,3.18,100.00,100.00
4/5/2026-15:45:58,2.18,3.37,129.87,3.37,100.00,100.00
4/5/2026-16:00:58,2.21,3.55,145.60,3.60,100.00,100.00
4/5/2026-16:15:58,1.93,3.55,150.92,3.59,100.00,100.00
4/5/2026-16:30:58,1.54,3.49,145.30,3.53,100.00,100.00
4/5/2026-16:45:58,1.91,3.59,168.30,3.67,100.00,100.00
4/5/2026-17:00:58,1.61,3.43,172.35,3.55,98.00,100.00
4/5/2026-17:15:58,1.83,3.41,186.37,3.49,93.00,100.00
4/5/2026-17:30:58,1.82,3.54,188.13,3.67,90.00,100.00
4/5/2026-17:45:58,1.41,3.71,206.45,3.84,89.00,100.00
4/5/2026-18:00:58,1.13,3.71,203.14,3.81,87.00,95.00
4/5/2026-18:15:58,1.11,3.61,216.58,3.73,86.00,93.00
4/5/2026-18:30:59,1.13,3.61,214.64,3.75,86.00,92.00
4/5/2026-18:45:59,0.99,3.62,214.57,3.73,86.00,92.00
4/5/2026-19:00:59,1.15,3.65,218.82,3.77,86.00,92.00
4/5/2026-19:15:59,1.09,3.73,207.97,3.83,85.00,92.00
4/5/2026-19:30:59,1.20,3.76,211.99,3.86,85.00,91.00
4/5/2026-19:45:59,1.16,3.62,209.77,3.71,85.00,91.00
4/5/2026-20:00:59,1.27,3.82,217.13,3.95,85.00,90.00
4/5/2026-20:15:59,1.36,3.89,222.66,4.01,84.00,90.00
4/5/2026-20:30:59,1.33,3.50,198.33,3.60,84.00,90.00
4/5/2026-20:45:59,1.26,3.56,189.10,3.64,84.00,90.00
4/5/2026-21:00:59,1.38,3.68,183.13,3.73,84.00,90.00
4/5/2026-21:15:59,1.54,3.73,180.76,3.77,84.00,90.00
4/5/2026-21:30:59,1.60,3.77,178.62,3.82,84.00,90.00
4/5/2026-21:45:59,1.76,3.76,180.34,3.82,83.00,89.00
4/5/2026-22:00:59,1.27,3.31,157.34,3.30,83.00,89.00
4/5/2026-22:15:59,1.51,3.19,140.97,3.17,83.00,89.00
4/5/2026-22:30:59,1.64,3.06,134.22,3.07,81.00,88.00
4/5/2026-22:45:59,0.83,1.38,23.59,2.85,82.00,88.00
4/5/2026-23:00:59,0.84,1.42,27.80,2.94,82.00,88.00
4/5/2026-23:15:59,0.78,1.37,28.16,2.94,82.00,87.00
4/5/2026-23:30:59,0.85,1.40,30.66,2.89,81.00,87.00
4/5/2026-23:45:59,0.90,1.47,30.55,3.01,81.00,87.00
